122505,122505,5,27,"aprovado","2014-04-02 10:05:33","2014-04-02 10:05:33"
122506,122506,35,28,"aprovado","2014-04-02 10:17:49","2014-04-02 10:17:49"
122507,122507,30,29,"aprovado","2014-04-02 10:46:50","2014-04-02 10:46:50"
122508,122508,30,29,"aprovado","2014-04-02 10:46:50","2014-04-02 10:46:50"
122509,122509,30,29,"aprovado","2014-04-02 10:46:50","2014-04-02 10:46:50"
122510,122510,37,30,"aprovado","2014-04-02 10:52:15","2014-04-02 10:52:15"
122511,122511,37,30,"aprovado","2014-04-02 10:52:15","2014-04-02 10:52:15"
122532,122532,19,31,"aprovado","2014-04-02 14:04:03","2014-04-02 14:04:03"
122537,122537,37,32,"aprovado","2014-04-02 15:44:27","2014-04-02 15:44:27"
122538,122538,37,32,"aprovado","2014-04-02 15:44:27","2014-04-02 15:44:27"
122539,122539,35,33,"aprovado","2014-04-02 15:50:34","2014-04-02 15:50:34"
122540,122540,23,34,"aprovado","2014-04-02 16:41:07","2014-04-02 16:41:07"
122543,122543,6,36,"aprovado","2014-04-02 18:02:55","2014-04-02 18:02:55"
122547,122547,35,35,"aprovado","2014-04-02 18:28:29","2014-04-02 18:28:29"
122548,122548,35,35,"aprovado","2014-04-02 18:28:29","2014-04-02 18:28:29"
122549,122549,13,37,"aprovado","2014-04-02 19:14:42","2014-04-02 19:14:42"
122550,122550,13,38,"aprovado","2014-04-02 19:21:36","2014-04-02 19:21:36"
122551,122551,9,39,"aprovado","2014-04-02 20:26:26","2014-04-02 20:26:26"
122552,122552,27,40,"aprovado","2014-04-02 22:19:53","2014-04-02 22:19:53"
122553,122553,13,41,"aprovado","2014-04-02 23:12:40","2014-04-02 23:12:40"
122554,122554,36,42,"aprovado","2014-04-02 23:20:42","2014-04-02 23:20:42"
122555,122555,35,43,"aprovado","2014-04-02 23:52:26","2014-04-02 23:52:26"
122556,122556,37,44,"aprovado","2014-04-02 23:57:54","2014-04-02 23:57:54"
122557,122557,37,44,"aprovado","2014-04-02 23:57:54","2014-04-02 23:57:54"
122558,122558,35,45,"aprovado","2014-04-02 23:59:41","2014-04-02 23:59:41"
122559,122559,35,46,"aprovado","2014-04-03 00:20:03","2014-04-03 00:20:03"
122560,122560,35,46,"aprovado","2014-04-03 00:20:03","2014-04-03 00:20:03"
122561,122561,16,47,"aprovado","2014-04-03 00:33:20","2014-04-03 00:33:20"
122562,122562,35,48,"aprovado","2014-04-03 05:12:17","2014-04-03 05:12:17"
122563,122563,35,48,"aprovado","2014-04-03 05:12:17","2014-04-03 05:12:17"
122567,122567,15,49,"aprovado","2014-04-03 08:36:14","2014-04-03 08:36:14"
122568,122568,35,50,"aprovado","2014-04-03 09:36:32","2014-04-03 09:36:32"
122579,122579,35,51,"aprovado","2014-04-03 10:00:58","2014-04-03 10:00:58"
122583,122583,10,52,"aprovado","2014-04-03 10:09:17","2014-04-03 10:09:17"
122584,122584,18,53,"aprovado","2014-04-03 10:20:42","2014-04-03 10:20:42"
122585,122585,37,54,"aprovado","2014-04-03 10:48:33","2014-04-03 10:48:33"
122587,122587,37,55,"aprovado","2014-04-03 11:46:06","2014-04-03 11:46:06"
122588,122588,35,56,"aprovado","2014-04-03 12:03:28","2014-04-03 12:03:28"
122589,122589,35,56,"aprovado","2014-04-03 12:03:28","2014-04-03 12:03:28"
122590,122590,37,57,"aprovado","2014-04-03 12:24:00","2014-04-03 12:24:00"
122591,122591,37,57,"aprovado","2014-04-03 12:24:00","2014-04-03 12:24:00"
122592,122592,28,58,"aprovado","2014-04-03 12:43:24","2014-04-03 12:43:24"
122593,122593,35,59,"aprovado","2014-04-03 14:43:03","2014-04-03 14:43:03"
122594,122594,35,60,"aprovado","2014-04-03 14:45:06","2014-04-03 14:45:06"
122595,122595,35,61,"aprovado","2014-04-03 14:47:42","2014-04-03 14:47:42"
122598,122598,37,62,"aprovado","2014-04-03 15:39:29","2014-04-03 15:39:29"
122599,122599,37,62,"aprovado","2014-04-03 15:39:29","2014-04-03 15:39:29"
122600,122600,37,63,"aprovado","2014-04-03 15:41:07","2014-04-03 15:41:07"
122601,122601,37,63,"aprovado","2014-04-03 15:41:07","2014-04-03 15:41:07"
122606,122606,37,64,"aprovado","2014-04-03 15:57:02","2014-04-03 15:57:02"
122607,122607,37,64,"aprovado","2014-04-03 15:57:02","2014-04-03 15:57:02"
122608,122608,37,64,"aprovado","2014-04-03 15:57:02","2014-04-03 15:57:02"
