116,4,7071,"2014-06-17 00:00:00",697.20
117,4,7033,"2014-06-17 00:00:00",300.00
118,4,7287,NULL,900.00
119,4,7080,NULL,59369.00
120,4,7102,"2014-06-17 00:00:00",1345.50
121,5,7107,NULL,798.00
122,5,7171,NULL,553.50
123,5,7168,NULL,1412.00
124,5,7288,NULL,720.00
125,5,7281,NULL,870.00
126,5,7070,NULL,502.56
127,5,7302,NULL,489.30
128,5,7128,NULL,446.60
129,5,7186,NULL,490.00
130,5,7282,NULL,100.00
131,5,7273,NULL,251.25
132,5,7258,NULL,314.30
133,5,7073,NULL,717.00
134,5,7207,NULL,399.20
135,5,7226,NULL,149.25
136,5,7037,NULL,921.20
137,5,7041,NULL,1120.00
138,5,7295,NULL,1023.75
139,5,7121,NULL,478.50
140,5,7309,NULL,1340.25
141,5,7293,NULL,0.00
142,5,7033,NULL,367.50
143,5,7308,NULL,2850.00
144,5,7287,NULL,1800.00
145,5,7080,NULL,40073.00
146,5,7102,NULL,672.75
147,5,7307,NULL,3174.58
